customer_id,customer_name,business_segment,invoice_number,invoice_date,invoice_amount,credit_limit,credit_used,due_date,payment_date,amount_paid,payment_status
CUST751782,Carney-Stevens Holdings,Large,FDX2025272248,2025-12-01,78921,353917,78921,2025-12-31,2025-12-26,78921,Paid
CUST294084,Expert Holdings,Large,FDX2025262807,2025-12-01,82070,319504,205644,2025-12-31,,,Unpaid
CUST650794,Dixon-Miller Supply,Large,FDX2025404281,2025-12-01,65808,689872,65808,2025-12-31,2025-12-24,65808,Paid
CUST464362,Do Logistics,Mid,FDX2025657329,2025-12-10,36184,198211,89621,2025-12-30,2025-12-29,36184,Paid
CUST639818,Simon Healthcare,Large,FDX2025275361,2025-12-01,66446,345465,66446,2025-12-31,2025-12-28,66446,Paid
CUST145122,Rogers-Carter Trading,Small,FDX2025750480,2025-12-14,9603,47473,21990,2025-12-29,2025-12-26,9603,Paid
CUST274718,Douglas-Wagner Trading,Mid,FDX2025138691,2025-12-09,66449,215525,108477,2025-12-29,2025-12-24,66449,Paid
CUST510325,Hughes Logistics,Mid,FDX2025581264,2025-12-10,81400,240400,81400,2025-12-30,2025-12-25,81400,Paid
CUST134579,Biancaland Systems,Mid,FDX2025502717,2025-12-09,41735,141062,91018,2025-12-29,2025-12-28,41735,Paid
CUST228009,Also Distribution,Mid,FDX2025114471,2025-12-06,10323,139978,60470,2025-12-26,,,Unpaid
CUST398478,Answer Corporation,Small,FDX2025376555,2025-12-01,1504,7046,3210,2025-12-16,2025-12-11,1504,Paid
CUST284878,Castro-Booker Group,Mid,FDX2025570717,2025-12-06,17277,220925,17277,2025-12-26,2025-12-19,17277,Paid
CUST632759,Hammond-White Automotive,Large,FDX2025980681,2025-12-01,115946,572023,298934,2025-12-31,2025-12-28,115946,Paid
CUST789842,Management Pharmaceuticals,Mid,FDX2025741147,2025-12-11,39954,166402,102535,2025-12-31,2025-12-26,39954,Paid
CUST559577,Krause Enterprises,Large,FDX2025769723,2025-12-01,43248,435728,43248,2025-12-31,2025-12-30,43248,Paid
CUST852311,"Blevins, Callahan and Sims",Mid,FDX2025362431,2025-12-10,11350,115024,68164,2025-12-30,2025-12-27,11350,Paid
CUST603305,Political Automotive,Small,FDX2025110323,2025-12-03,941,47130,941,2025-12-18,2025-12-11,941,Paid
CUST607647,"Ortega, International",Mid,FDX2025923712,2025-12-06,19620,244157,70126,2025-12-26,,,Unpaid
CUST677774,Wood-Pearson,Small,FDX2025746960,2025-12-15,8226,21060,14036,2025-12-30,2025-12-25,8226,Paid
CUST583606,Rhode Island Supply,Large,FDX2025278072,2025-12-01,90031,717250,90031,2025-12-31,2025-12-28,90031,Paid
CUST375483,Garza-Alvarez Services,Small,FDX2025325583,2025-12-02,1794,10846,5530,2025-12-17,2025-12-10,1794,Paid
CUST809398,Sanchez Medical,Mega,FDX2025433807,2025-12-01,262959,1154949,674723,2025-12-31,2025-12-28,262959,Paid
CUST329272,Every Systems,Mid,FDX2025278902,2025-12-06,5786,124304,18887,2025-12-26,,,Unpaid
CUST706947,Bean Pharmaceuticals,Mid,FDX2025694308,2025-12-06,9276,217078,59217,2025-12-26,,,Unpaid
CUST773852,Best Enterprises,Small,FDX2025638345,2025-12-13,2938,32208,12552,2025-12-28,,,Unpaid
CUST744339,Those Medical,Small,FDX2025666491,2025-12-02,7371,31935,7371,2025-12-17,2025-12-17,7371,Paid
CUST575469,Benefit Solutions,Small,FDX2025136685,2025-12-10,5161,17448,9754,2025-12-25,2025-12-24,5161,Paid
CUST855118,Romero Technologies,Mid,FDX2025969699,2025-12-11,24377,152892,58308,2025-12-31,2025-12-26,24377,Paid
CUST360184,Parsons LLC,Small,FDX2025718147,2025-12-01,12631,36427,28684,2025-12-16,2025-12-09,12631,Paid
CUST397859,Weeks Industries,Small,FDX2025764199,2025-12-11,918,7252,1890,2025-12-26,,,Unpaid
CUST607164,"Flores, Medical",Mega,FDX2025551788,2025-12-01,486608,2075963,1415555,2025-12-31,2025-12-30,486608,Paid
CUST495903,Jordan-Davis,Mid,FDX2025355289,2025-12-01,47715,178962,111536,2025-12-21,2025-12-18,47715,Paid
CUST886378,Jimenez Logistics,Small,FDX2025313624,2025-12-13,7263,21334,14659,2025-12-28,2025-12-28,7263,Paid
CUST392454,Thomas-Sweeney,Small,FDX2025262976,2025-12-09,7042,29216,18374,2025-12-24,2025-12-17,7042,Paid
CUST411981,Owens-Terrell Group,Small,FDX2025153747,2025-12-14,12296,43635,15043,2025-12-29,,,Unpaid
CUST973654,Castilloberg Automotive,Large,FDX2025501322,2025-12-01,178771,742727,178771,2025-12-31,2025-12-26,178771,Paid
CUST736507,Begin International,Mid,FDX2025293809,2025-12-07,51794,182614,56212,2025-12-27,2025-12-26,51794,Paid
CUST701689,Head Corporation,Large,FDX2025655414,2025-12-01,114332,483537,323193,2025-12-31,2025-12-31,114332,Paid
CUST139968,Condition Distribution,Mega,FDX2025182901,2025-12-01,532174,2706463,1871227,2025-12-31,2025-12-31,532174,Paid
CUST936419,Gutierrez Manufacturing,Small,FDX2025469281,2025-12-06,5362,37143,12313,2025-12-21,2025-12-16,5362,Paid
CUST818594,Reyes-Charles Holdings,Large,FDX2025834053,2025-12-01,63754,414437,63754,2025-12-31,,,Unpaid
CUST353556,Sexton Materials,Small,FDX2025819734,2025-12-16,8523,37938,8523,2025-12-31,2025-12-28,8523,Paid
CUST512983,Idea Industries,Small,FDX2025551102,2025-12-15,12481,49866,23049,2025-12-30,,,Unpaid
CUST594693,Green-Tucker Distribution,Large,FDX2025150203,2025-12-01,119067,719419,302377,2025-12-31,,,Unpaid
CUST600019,Alexanderfurt Materials,Mid,FDX2025578245,2025-12-06,31545,108177,62744,2025-12-26,2025-12-21,31545,Paid
CUST376763,"Cooper, Underwood and Santos",Mega,FDX2025643288,2025-12-01,200812,1986164,200812,2025-12-31,2025-12-26,200812,Paid
CUST391770,Sosa International,Small,FDX2025516009,2025-12-14,4352,46995,27110,2025-12-29,,,Unpaid
CUST707351,"Morris, Company",Mid,FDX2025336950,2025-12-09,33862,126546,79986,2025-12-29,2025-12-28,33862,Paid
CUST382452,Them Wholesale,Small,FDX2025478779,2025-12-13,1961,18157,7536,2025-12-28,,,Unpaid
CUST106362,"Rush, Manufacturing",Mid,FDX2025795892,2025-12-11,14701,194464,52963,2025-12-31,,,Unpaid
CUST698905,Chang-Peterson Automotive,Mid,FDX2025304484,2025-12-02,64554,247962,158771,2025-12-22,2025-12-19,64554,Paid
CUST166278,Evans Supply,Mid,FDX2025120422,2025-12-08,27617,238942,49352,2025-12-28,2025-12-28,27617,Paid
CUST686205,Huge Technologies,Mid,FDX2025480120,2025-12-03,9150,145424,18730,2025-12-23,,,Unpaid
CUST160764,Miller-Spencer,Mid,FDX2025312559,2025-12-02,15634,88706,15634,2025-12-22,2025-12-17,15634,Paid
CUST968230,Money Holdings,Large,FDX2025544586,2025-12-01,49052,369579,180765,2025-12-31,2025-12-30,49052,Paid
CUST354724,"Ross, Espinoza and Mitchell",Mid,FDX2025194193,2025-12-05,34299,105397,46477,2025-12-25,2025-12-22,34299,Paid
CUST490558,Antonioland Automotive,Small,FDX2025630410,2025-12-07,5150,13583,5150,2025-12-22,,,Unpaid
CUST642427,Duran Trading,Mid,FDX2025898287,2025-12-06,10864,80515,17118,2025-12-26,,,Unpaid
CUST599665,Wilson-Farrell International,Small,FDX2025773591,2025-12-01,11071,27831,15725,2025-12-16,,,Unpaid
CUST388650,"Dean, Distribution",Small,FDX2025762164,2025-12-05,10997,37876,10997,2025-12-20,2025-12-15,10997,Paid
CUST471688,Masonbury International,Small,FDX2025437198,2025-12-08,526,18933,526,2025-12-23,2025-12-23,526,Paid
CUST816320,Campbell-Rivera,Mid,FDX2025431338,2025-12-06,12163,69476,25914,2025-12-26,2025-12-26,12163,Paid
CUST936427,"Chen, Group",Mid,FDX2025908849,2025-12-06,18490,73542,38754,2025-12-26,,,Unpaid
CUST482920,Gonzalez-Luna,Small,FDX2025499926,2025-12-03,7229,38155,9365,2025-12-18,2025-12-17,7229,Paid
CUST556179,Argue Logistics,Mid,FDX2025548813,2025-12-08,59484,220896,158249,2025-12-28,2025-12-21,59484,Paid
CUST170314,Mcneil-Payne,Small,FDX2025912572,2025-12-07,677,25844,677,2025-12-22,,,Unpaid
CUST971981,"Richmond, Dominguez and Wilson",Mid,FDX2025638677,2025-12-04,26362,125923,66291,2025-12-24,2025-12-23,26362,Paid
CUST126951,Annahaven Technologies,Small,FDX2025765101,2025-12-11,2198,6257,3608,2025-12-26,,,Unpaid
CUST926132,Ruiz-Davenport,Mid,FDX2025171786,2025-12-03,14909,217826,14909,2025-12-23,2025-12-22,14909,Paid
CUST453246,Pay Systems,Small,FDX2025519011,2025-12-07,1781,9467,2726,2025-12-22,,,Unpaid
CUST872998,Reynolds-Ward Healthcare,Mid,FDX2025575716,2025-12-10,20846,70151,37934,2025-12-30,,,Unpaid
CUST796500,From Electronics,Small,FDX2025235137,2025-12-03,988,31852,3038,2025-12-18,,,Unpaid
CUST224457,Short-Jones,Small,FDX2025485859,2025-12-14,1809,5945,3784,2025-12-29,2025-12-29,1809,Paid
CUST559472,Craig-Cobb,Small,FDX2025854068,2025-12-02,6641,22252,6641,2025-12-17,,,Unpaid
CUST309968,Branch-Ellis,Mid,FDX2025330759,2025-12-02,64131,195642,105992,2025-12-22,2025-12-21,64131,Paid
CUST876478,Georgia International,Small,FDX2025831619,2025-12-10,5660,22485,11555,2025-12-25,,,Unpaid
CUST696078,Thompson-Williams Automotive,Small,FDX2025587460,2025-12-01,13222,40941,28208,2025-12-16,,,Unpaid
CUST565096,Fernandez-Lewis Enterprises,Small,FDX2025686399,2025-12-04,2047,24551,4100,2025-12-19,2025-12-16,2047,Paid
CUST877532,Torres LLC,Small,FDX2025850085,2025-12-08,1532,30055,9900,2025-12-23,,,Unpaid
CUST230595,Have Systems,Mid,FDX2025131303,2025-12-05,34194,125737,81465,2025-12-25,2025-12-25,34194,Paid
CUST780925,So Services,Large,FDX2025258256,2025-12-01,148161,602891,148161,2025-12-31,2025-12-30,148161,Paid
CUST548522,Vaughn-Morris,Mid,FDX2025972351,2025-12-09,9418,123978,27275,2025-12-29,,,Unpaid
CUST708987,Bit Systems,Mid,FDX2025205350,2025-12-10,48731,156578,85633,2025-12-30,2025-12-25,48731,Paid
CUST906783,Mcgee Systems,Mid,FDX2025951847,2025-12-09,3533,177188,61760,2025-12-29,2025-12-22,3533,Paid
CUST392202,Different Partners,Small,FDX2025143416,2025-12-03,4263,16885,9364,2025-12-18,,,Unpaid
CUST840365,Special Technologies,Mid,FDX2025802224,2025-12-03,21508,86439,21508,2025-12-23,2025-12-23,21508,Paid
CUST711456,Early Company,Small,FDX2025273145,2025-12-02,6051,21398,6051,2025-12-17,2025-12-16,6051,Paid
CUST951531,True Equipment,Mega,FDX2025645662,2025-12-01,111755,2401541,111755,2025-12-31,,,Unpaid
CUST772747,Choice Electronics,Small,FDX2025176798,2025-12-12,5975,33523,21782,2025-12-27,2025-12-24,5975,Paid
CUST375130,Lee-Salas,Small,FDX2025307286,2025-12-03,6948,39281,6948,2025-12-18,,,Unpaid
CUST906276,Butler Trading,Mid,FDX2025222335,2025-12-02,40174,165838,88944,2025-12-22,2025-12-15,40174,Paid
CUST753698,Williams-Mathis,Mid,FDX2025597095,2025-12-11,10099,103076,10099,2025-12-31,2025-12-28,10099,Paid
CUST465808,Blake-Yang,Small,FDX2025925850,2025-12-13,7798,24715,16349,2025-12-28,,,Unpaid
CUST804445,Gaines-Rubio,Small,FDX2025592234,2025-12-06,4560,26721,15502,2025-12-21,2025-12-18,4560,Paid
CUST757879,Call Technologies,Small,FDX2025904057,2025-12-07,3448,26402,3448,2025-12-22,2025-12-22,3448,Paid
CUST544632,By Equipment,Mid,FDX2025934889,2025-12-03,32831,210172,54600,2025-12-23,2025-12-20,32831,Paid
CUST698518,Sullivan Logistics,Small,FDX2025146422,2025-12-13,5819,15760,5819,2025-12-28,2025-12-28,5819,Paid
CUST477097,Miller Holdings,Large,FDX2025700637,2025-12-01,25834,694040,25834,2025-12-31,2025-12-30,25834,Paid
CUST358723,Ball and Sons,Large,FDX2025112503,2025-12-01,91271,415103,91271,2025-12-31,2025-12-24,91271,Paid
CUST928863,Sing Company,Large,FDX2025982402,2025-12-01,56816,385162,56816,2025-12-31,,,Unpaid
CUST499058,Harmon-Lamb Systems,Small,FDX2025833271,2025-12-05,1644,10560,1644,2025-12-20,2025-12-17,1644,Paid
CUST540665,Carter-Gibson Medical,Small,FDX2025285508,2025-12-10,2448,18252,2448,2025-12-25,2025-12-18,2448,Paid
CUST372830,"Odonnell, Technologies",Small,FDX2025339592,2025-12-16,1426,28041,1426,2025-12-31,,,Unpaid
CUST269482,Sawyer Services,Mid,FDX2025124977,2025-12-06,63047,217797,63047,2025-12-26,2025-12-23,63047,Paid
CUST676609,"Phelps, Williamson and Mendez",Mid,FDX2025591271,2025-12-09,16457,144131,16457,2025-12-29,2025-12-22,16457,Paid
CUST797047,Fly Enterprises,Mega,FDX2025631318,2025-12-01,110633,1185413,469541,2025-12-31,2025-12-28,110633,Paid
CUST762291,Garza Partners,Small,FDX2025850595,2025-12-07,867,25365,2961,2025-12-22,,,Unpaid
CUST559876,Soldier Distribution,Mega,FDX2025349901,2025-12-01,189627,1800065,338227,2025-12-31,2025-12-31,189627,Paid
CUST363357,Wide Pharmaceuticals,Small,FDX2025203542,2025-12-16,1123,25398,1123,2025-12-31,2025-12-28,1123,Paid
CUST650441,Fast Trading,Small,FDX2025756250,2025-12-15,4354,17177,7751,2025-12-30,,,Unpaid
CUST909717,Southern Solutions,Large,FDX2025719223,2025-12-01,141917,608303,141917,2025-12-31,2025-12-30,141917,Paid
CUST457430,LKQ Corporation,Mid,FDX2025128922,2025-12-01,6948,57333,10978,2025-12-21,,,Unpaid
CUST164694,Moran Manufacturing,Small,FDX2025283974,2025-12-12,8464,41999,8464,2025-12-27,,,Unpaid
CUST377914,Degree Enterprises,Mid,FDX2025685757,2025-12-02,5955,114353,51535,2025-12-22,,,Unpaid
CUST920651,"Guerrero, Lee and Carter",Small,FDX2025778917,2025-12-16,13262,35215,16957,2025-12-31,,,Unpaid
CUST292837,Gamble-Shaw,Large,FDX2025108377,2025-12-01,14253,333769,125880,2025-12-31,2025-12-30,14253,Paid
CUST353893,Virginia Logistics,Mid,FDX2025609600,2025-12-03,55789,177774,63971,2025-12-23,,,Unpaid
CUST324956,Goal Materials,Mid,FDX2025144792,2025-12-04,14446,233108,14446,2025-12-24,2025-12-17,14446,Paid
CUST820804,Mullins International,Large,FDX2025696734,2025-12-01,14639,362825,160627,2025-12-31,2025-12-30,14639,Paid
CUST101963,Mills Healthcare,Large,FDX2025283569,2025-12-01,111612,704340,111612,2025-12-31,2025-12-24,111612,Paid
CUST718498,A Corporation,Small,FDX2025957831,2025-12-02,7334,20341,8601,2025-12-17,2025-12-12,7334,Paid
CUST586069,Valencia-Morrow,Mega,FDX2025428749,2025-12-01,289234,1495893,809815,2025-12-31,2025-12-26,289234,Paid
CUST997101,Tapia International,Small,FDX2025240775,2025-12-16,3499,23038,5547,2025-12-31,2025-12-26,3499,Paid
CUST157001,Illinois Equipment,Small,FDX2025412479,2025-12-08,4324,32563,16692,2025-12-23,2025-12-20,4324,Paid
CUST265492,Ballard Wholesale,Mega,FDX2025911720,2025-12-01,407350,2441648,407350,2025-12-31,2025-12-28,407350,Paid
CUST526954,Ross Group,Small,FDX2025558457,2025-12-10,13405,35093,20629,2025-12-25,2025-12-20,13405,Paid
CUST930189,Clarkchester Wholesale,Small,FDX2025997987,2025-12-16,3305,24356,13079,2025-12-31,,,Unpaid
CUST156174,Whitehead Wholesale,Small,FDX2025193272,2025-12-06,3287,26715,3287,2025-12-21,2025-12-21,3287,Paid
CUST304313,Avoid Trading,Mid,FDX2025605654,2025-12-06,17580,199406,17580,2025-12-26,2025-12-23,17580,Paid
CUST791138,Henry-Valdez Partners,Mid,FDX2025393637,2025-12-03,19380,128941,19380,2025-12-23,2025-12-16,19380,Paid
CUST812618,"Leonard, Electronics",Small,FDX2025389411,2025-12-16,3956,20005,9642,2025-12-31,2025-12-24,3956,Paid
CUST544194,Robles Manufacturing,Small,FDX2025318818,2025-12-16,7776,24303,7776,2025-12-31,2025-12-24,7776,Paid
CUST727055,Richards Systems,Small,FDX2025391899,2025-12-04,4123,34760,4123,2025-12-19,,,Unpaid
CUST398898,Doyle-Hayes Partners,Mid,FDX2025556388,2025-12-07,9144,89222,40581,2025-12-27,2025-12-24,9144,Paid
CUST560866,Ramosside Electronics,Small,FDX2025300204,2025-12-16,10645,46170,17083,2025-12-31,2025-12-24,10645,Paid
CUST733406,Jenkins Healthcare,Small,FDX2025273257,2025-12-10,2869,9000,5105,2025-12-25,,,Unpaid
CUST373210,Gibson Systems,Mid,FDX2025418463,2025-12-01,46376,236879,46376,2025-12-21,,,Unpaid
CUST727142,Richmond-Black Equipment,Mid,FDX2025998956,2025-12-11,19545,102014,40220,2025-12-31,2025-12-26,19545,Paid
CUST944620,Hicks-Berry Medical,Small,FDX2025365836,2025-12-14,816,9039,1785,2025-12-29,2025-12-24,816,Paid
CUST845206,US Foods Holdings,Small,FDX2025443110,2025-12-09,2377,7648,5080,2025-12-24,2025-12-19,2377,Paid
CUST946522,Jaimeberg Electronics,Small,FDX2025976387,2025-12-01,1500,36463,3940,2025-12-16,2025-12-11,1500,Paid
CUST457485,Taylor-Scott,Small,FDX2025477468,2025-12-05,5480,25218,15329,2025-12-20,2025-12-19,5480,Paid
CUST287345,Establish Medical,Small,FDX2025145564,2025-12-14,509,10661,835,2025-12-29,,,Unpaid
CUST674161,Minnesota Equipment,Small,FDX2025580808,2025-12-01,16115,49292,27715,2025-12-16,,,Unpaid
CUST350855,Ability Group,Large,FDX2025230218,2025-12-01,90669,513114,281049,2025-12-31,2025-12-31,90669,Paid
CUST604009,Kentucky Wholesale,Large,FDX2025394405,2025-12-01,73116,386405,210502,2025-12-31,2025-12-30,73116,Paid
CUST396999,Garrett-Dixon Automotive,Small,FDX2025816709,2025-12-16,9605,48339,10467,2025-12-31,2025-12-31,9605,Paid
CUST412214,Watts Logistics,Mid,FDX2025604313,2025-12-09,15551,99366,35777,2025-12-29,,,Unpaid
CUST387671,Gregory Group,Mega,FDX2025117550,2025-12-01,57011,1526839,57011,2025-12-31,2025-12-26,57011,Paid
CUST709806,Professor Systems,Small,FDX2025689380,2025-12-03,3904,13943,9420,2025-12-18,2025-12-13,3904,Paid
CUST546307,Certainly Group,Large,FDX2025620229,2025-12-01,203258,735092,203258,2025-12-31,2025-12-30,203258,Paid
CUST768353,Flowers-Williams Industries,Mega,FDX2025978956,2025-12-01,304248,1776595,953779,2025-12-31,2025-12-31,304248,Paid
CUST573591,Angelaton Healthcare,Mid,FDX2025851287,2025-12-08,30957,139901,83124,2025-12-28,,,Unpaid
CUST490550,"Jones, International",Small,FDX2025321205,2025-12-14,4650,46313,7551,2025-12-29,2025-12-26,4650,Paid
CUST812175,Build Distribution,Mid,FDX2025180357,2025-12-08,51967,150952,99753,2025-12-28,2025-12-23,51967,Paid
CUST126597,Rodriguez-Robinson Wholesale,Small,FDX2025341463,2025-12-06,6545,29200,15402,2025-12-21,,,Unpaid
CUST886250,Force Solutions,Large,FDX2025260708,2025-12-01,79149,462788,211591,2025-12-31,2025-12-28,79149,Paid
CUST346099,Montana Pharmaceuticals,Small,FDX2025941171,2025-12-16,972,34627,972,2025-12-31,2025-12-28,972,Paid
CUST797528,Lewischester Partners,Large,FDX2025782240,2025-12-01,14126,538033,110890,2025-12-31,,,Unpaid
CUST545209,Over Wholesale,Mid,FDX2025556989,2025-12-09,2988,98647,33145,2025-12-29,,,Unpaid
CUST116285,Levine Group,Small,FDX2025118811,2025-12-15,1418,6117,2354,2025-12-30,,,Unpaid
CUST813145,Chapman-Walker,Large,FDX2025172914,2025-12-01,21418,575722,21418,2025-12-31,,,Unpaid
CUST207750,Never Medical,Small,FDX2025543947,2025-12-08,13945,44385,23655,2025-12-23,,,Unpaid
CUST378576,Mosley-Figueroa Industries,Small,FDX2025640446,2025-12-12,754,32992,754,2025-12-27,,,Unpaid
CUST198188,"Cannon, Manufacturing",Mid,FDX2025470282,2025-12-08,12082,226761,12082,2025-12-28,,,Unpaid
CUST777145,Florida Automotive,Small,FDX2025950713,2025-12-12,13275,48757,22611,2025-12-27,,,Unpaid
CUST671472,"Contreras, Equipment",Large,FDX2025889644,2025-12-01,92907,344487,92907,2025-12-31,2025-12-30,92907,Paid
CUST836637,Thomas Systems,Large,FDX2025208865,2025-12-01,82952,351177,113344,2025-12-31,2025-12-30,82952,Paid
CUST309863,Griffin International,Mega,FDX2025134156,2025-12-01,252458,1282653,558148,2025-12-31,2025-12-30,252458,Paid
CUST440967,Sanders-Cortez,Small,FDX2025304854,2025-12-13,7472,27008,16039,2025-12-28,,,Unpaid
CUST965284,Minute Services,Mid,FDX2025442751,2025-12-10,9514,91363,26965,2025-12-30,,,Unpaid
CUST535338,Morris-Walker Pharmaceuticals,Small,FDX2025228208,2025-12-04,2846,20894,5045,2025-12-19,,,Unpaid
CUST649659,Blair Technologies,Mid,FDX2025325086,2025-12-05,17599,201916,76913,2025-12-25,,,Unpaid
CUST425733,Exist Supply,Small,FDX2025711189,2025-12-15,6456,32766,18220,2025-12-30,2025-12-30,6456,Paid
CUST649541,Kerr Company,Small,FDX2025656283,2025-12-13,2142,20772,2142,2025-12-28,2025-12-25,2142,Paid
CUST970688,Rosemouth Services,Large,FDX2025700444,2025-12-01,50190,593008,128777,2025-12-31,,,Unpaid
CUST906402,"Smith, Services",Small,FDX2025139364,2025-12-09,1729,39097,15082,2025-12-24,2025-12-24,1729,Paid
CUST311481,"Hoover, Gonzalez and Delgado",Mid,FDX2025518122,2025-12-05,2852,56829,2852,2025-12-25,,,Unpaid
CUST150548,Ward Services,Mid,FDX2025683888,2025-12-06,34317,236360,53630,2025-12-26,2025-12-21,34317,Paid
CUST588097,"Simmons, Systems",Mid,FDX2025109572,2025-12-09,8359,138697,22374,2025-12-29,2025-12-28,8359,Paid
CUST265029,Arizona Technologies,Mid,FDX2025275177,2025-12-10,7745,57050,14149,2025-12-30,,,Unpaid
CUST392332,"Gonzalez, Trevino and Travis",Small,FDX2025469215,2025-12-06,2381,18337,5504,2025-12-21,,,Unpaid
CUST779867,"Kirk, Partners",Large,FDX2025680509,2025-12-01,114589,610960,286733,2025-12-31,2025-12-24,114589,Paid
CUST871659,Ericamouth Distribution,Large,FDX2025188486,2025-12-01,223323,744494,410648,2025-12-31,,,Unpaid
CUST583952,"Cook, Materials",Small,FDX2025229752,2025-12-03,3705,11657,3705,2025-12-18,,,Unpaid
CUST403081,Franklin Healthcare,Small,FDX2025963891,2025-12-12,2781,30472,15777,2025-12-27,,,Unpaid
CUST345202,Arellano Services,Mid,FDX2025430700,2025-12-10,22993,181974,100728,2025-12-30,2025-12-29,22993,Paid
CUST561518,Bryan-Rich Supply,Mid,FDX2025676291,2025-12-09,11748,177010,65562,2025-12-29,2025-12-29,11748,Paid
CUST625753,Thompson Services,Mega,FDX2025613012,2025-12-01,188020,2009745,524589,2025-12-31,2025-12-28,188020,Paid
CUST910955,"Hill, David and Finley",Small,FDX2025564402,2025-12-02,886,22599,3904,2025-12-17,2025-12-16,886,Paid
CUST413995,Lowe Group,Large,FDX2025941372,2025-12-01,72797,515215,143680,2025-12-31,2025-12-26,72797,Paid
CUST533881,"Webb, Spence and Villarreal",Mid,FDX2025990810,2025-12-07,39823,246976,118029,2025-12-27,2025-12-24,39823,Paid
CUST221217,Cox Healthcare,Mid,FDX2025692423,2025-12-01,14980,108254,42752,2025-12-21,,,Unpaid
CUST939685,Thornton Medical,Small,FDX2025784390,2025-12-02,2487,32405,5755,2025-12-17,,,Unpaid
CUST807913,Hall Company,Mid,FDX2025444365,2025-12-04,55947,219874,94471,2025-12-24,2025-12-19,55947,Paid
CUST447609,"Griffin, Holdings",Small,FDX2025722956,2025-12-08,1538,45928,7217,2025-12-23,,,Unpaid
CUST236306,Jordan-Patterson Distribution,Small,FDX2025353564,2025-12-08,5911,20689,5911,2025-12-23,,,Unpaid
CUST159950,Goodman Automotive,Mid,FDX2025606438,2025-12-10,17292,142755,17292,2025-12-30,2025-12-29,17292,Paid
