invoice_id,customer_id,customer_name,business_segment,invoice_date,invoice_amount,credit_limit,credit_used,due_date,payment_terms_days,grace_period_days,handover_date,payment_date,handover_eligibility
FDX20254171246,CUST731262,Walsh-Robertson,Small,2026-01-12,29708,75038,53647,2026-01-22,10,7,2026-01-29,,ELIGIBLE
FDX20251091762,CUST127824,Snyder-Copeland,Small,2026-01-05,25344,136657,109372,2026-01-15,10,7,2026-01-22,,ELIGIBLE
FDX20251119354,CUST688508,Jones-Guzman,Small,2025-12-27,8136,35992,15639,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20259766777,CUST308496,Wilkinson LLC,Mid,2025-12-12,55551,222613,176794,2025-12-27,15,12,2026-01-08,2026-01-06,RESOLVED_IN_GRACE
FDX20252976835,CUST850800,Ayala-Olson,Mid,2025-12-17,9711,32039,13690,2026-01-01,15,12,2026-01-13,,ELIGIBLE
FDX20259720156,CUST781453,"Sloan, Curtis and Moran",Small,2026-01-02,26966,85273,49182,2026-01-12,10,7,2026-01-19,,IN_GRACE
FDX20251120696,CUST835392,Ramsey-Wiggins,Mid,2026-01-01,3105,14204,12729,2026-01-16,15,12,2026-01-28,,ELIGIBLE
FDX20257291957,CUST671412,Dickson-Palmer,Large,2025-12-12,38022,144332,86648,2026-01-06,25,20,2026-01-26,,IN_GRACE
FDX20254446353,CUST539898,Schroeder-Clark,Small,2025-12-29,50659,195583,153719,2026-01-08,10,7,2026-01-15,2026-01-11,RESOLVED_IN_GRACE
FDX20256299951,CUST331148,Schroeder-Schneider,Small,2025-12-28,27756,96735,86457,2026-01-07,10,7,2026-01-14,,ELIGIBLE
FDX20257859282,CUST571029,Mata-Reyes,Mid,2025-12-27,2520,7965,4944,2026-01-11,15,12,2026-01-23,2026-01-22,RESOLVED_IN_GRACE
FDX20257077878,CUST717889,Meyers-Haney,Mid,2026-01-03,42682,192598,137216,2026-01-18,15,12,2026-01-30,,ELIGIBLE
FDX20252788169,CUST391704,Mccormick-Murphy,Small,2026-01-13,33350,84017,48474,2026-01-23,10,7,2026-01-30,,ELIGIBLE
FDX20253596753,CUST948749,Ellis-Fox,Mid,2026-01-03,40775,164153,73613,2026-01-18,15,12,2026-01-30,,ELIGIBLE
FDX20258148295,CUST106814,Hicks-Fitzgerald,Large,2025-12-11,44846,146801,107162,2026-01-05,25,20,2026-01-25,2026-01-09,RESOLVED_IN_GRACE
FDX20255255251,CUST895667,Lamb-Parker,Mid,2025-12-26,48967,264238,152545,2026-01-10,15,12,2026-01-22,,ELIGIBLE
FDX20255383935,CUST944962,Merritt-Patton,Large,2025-12-13,27552,145320,47332,2026-01-07,25,20,2026-01-27,2026-01-19,RESOLVED_IN_GRACE
FDX20259994347,CUST267414,"Fuentes, Gutierrez and Anthony",Mid,2025-12-26,22612,73063,62217,2026-01-10,15,12,2026-01-22,,ELIGIBLE
FDX20258106183,CUST832052,Woodard PLC,Small,2025-12-25,56140,310336,70495,2026-01-04,10,7,2026-01-11,,ELIGIBLE
FDX20257134489,CUST543143,Rosales-Barry,Mid,2025-12-25,23078,60821,34457,2026-01-09,15,12,2026-01-21,2026-01-16,RESOLVED_IN_GRACE
FDX20255623138,CUST456778,Hooper-Mitchell,Large,2025-12-05,5012,12762,5404,2025-12-30,25,20,2026-01-19,,IN_GRACE
FDX20257668174,CUST391369,Quinn-Nguyen,Small,2026-01-01,45200,134025,59760,2026-01-11,10,7,2026-01-18,,ELIGIBLE
FDX20254417412,CUST263032,Kaufman-Jones,Small,2026-01-01,45227,127585,56127,2026-01-11,10,7,2026-01-18,2026-01-18,RESOLVED_IN_GRACE
FDX20257932818,CUST325772,Williams-Gonzalez,Small,2026-01-13,22910,112866,32583,2026-01-23,10,7,2026-01-30,,ELIGIBLE
FDX20259094465,CUST900581,Sloan-Perry,Small,2025-12-24,28715,81016,67081,2026-01-03,10,7,2026-01-10,2026-01-07,RESOLVED_IN_GRACE
FDX20253998417,CUST452944,Forbes-Harrison,Small,2025-12-27,14117,72113,31020,2026-01-06,10,7,2026-01-13,2026-01-13,RESOLVED_IN_GRACE
FDX20257211142,CUST207175,Mcbride-Braun,Small,2025-12-31,18039,95645,85445,2026-01-10,10,7,2026-01-17,,ELIGIBLE
FDX20259116148,CUST197251,Hernandez-Young,Small,2025-12-27,6867,21732,8304,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20255257682,CUST498382,May-Ray,Mid,2025-12-21,57560,204452,57876,2026-01-05,15,12,2026-01-17,,IN_GRACE
FDX20256144785,CUST201414,Torres-Hayes,Small,2026-01-01,4572,22449,21349,2026-01-11,10,7,2026-01-18,,ELIGIBLE
FDX20256777340,CUST476417,Wade-Delgado,Mid,2025-12-23,10670,39337,28065,2026-01-07,15,12,2026-01-19,,IN_GRACE
FDX20257679508,CUST988662,Porter-Banks,Mid,2025-12-25,57447,223034,155873,2026-01-09,15,12,2026-01-21,2026-01-19,RESOLVED_IN_GRACE
FDX20253316405,CUST460663,May-Johnson,Small,2025-12-27,42426,119495,115915,2026-01-06,10,7,2026-01-13,2026-01-13,RESOLVED_IN_GRACE
FDX20252997927,CUST733052,Ortega-Simmons,Small,2026-01-07,28034,132746,44792,2026-01-17,10,7,2026-01-24,,ELIGIBLE
FDX20254854922,CUST377370,Castro-Vaughn,Small,2026-01-01,14387,80128,42967,2026-01-11,10,7,2026-01-18,,ELIGIBLE
FDX20258492618,CUST946335,Cummings-Hayes,Mid,2025-12-16,6321,17812,10641,2025-12-31,15,12,2026-01-12,2026-01-11,RESOLVED_IN_GRACE
FDX20253714471,CUST145561,"Valenzuela, Meadows and Herman",Mid,2025-12-30,18696,81423,26879,2026-01-14,15,12,2026-01-26,,ELIGIBLE
FDX20252682396,CUST865179,Cook-Freeman,Small,2025-12-28,33861,173291,156073,2026-01-07,10,7,2026-01-14,,ELIGIBLE
FDX20254598010,CUST581741,Sullivan-Curtis,Mid,2025-12-27,42662,170883,124992,2026-01-11,15,12,2026-01-23,,IN_GRACE
FDX20259528589,CUST662275,Townsend-Hooper,Mid,2025-12-13,28546,118918,70097,2025-12-28,15,12,2026-01-09,,ELIGIBLE
FDX20257720296,CUST230889,Hardin-Mckee,Mid,2025-12-27,48989,232307,67393,2026-01-11,15,12,2026-01-23,,IN_GRACE
FDX20256678044,CUST496922,Rice-Hamilton,Small,2025-12-30,41208,139327,57781,2026-01-09,10,7,2026-01-16,,ELIGIBLE
FDX20251873301,CUST182627,Clark-Farrell,Small,2025-12-27,6206,32892,24128,2026-01-06,10,7,2026-01-13,2026-01-08,RESOLVED_IN_GRACE
FDX20253696736,CUST678856,Jordan-Davis,Mid,2025-12-28,59092,184353,61843,2026-01-12,15,12,2026-01-24,,ELIGIBLE
FDX20257528076,CUST407419,Garcia-Alvarado,Mega,2025-12-01,28413,98992,39109,2026-01-05,35,30,2026-02-04,,IN_GRACE
FDX20251088762,CUST969693,"Warner, Smith and Kim",Large,2025-12-01,35989,185292,140226,2025-12-26,25,20,2026-01-15,,IN_GRACE
FDX20252528212,CUST759176,Johnson-Johnston,Large,2025-12-02,55367,213764,87234,2025-12-27,25,20,2026-01-16,2026-01-12,RESOLVED_IN_GRACE
FDX20253438206,CUST748564,"Dennis, Walker and Green",Large,2025-12-12,26692,75004,68508,2026-01-06,25,20,2026-01-26,,ELIGIBLE
FDX20258913286,CUST479201,Tran-Perkins,Mid,2025-12-14,42767,165465,151356,2025-12-29,15,12,2026-01-10,,ELIGIBLE
FDX20258304421,CUST705397,"Barton, Stein and Turner",Small,2026-01-04,3404,11058,4957,2026-01-14,10,7,2026-01-21,,ELIGIBLE
FDX20252478755,CUST301629,Harvey-Armstrong,Mid,2026-01-04,28596,105804,43848,2026-01-19,15,12,2026-01-31,,ELIGIBLE
FDX20252075091,CUST838797,Dixon-Wiggins,Mid,2025-12-30,46738,231234,206003,2026-01-14,15,12,2026-01-26,,ELIGIBLE
FDX20255413951,CUST172933,Anderson-Allen,Mid,2025-12-24,17145,70620,50354,2026-01-08,15,12,2026-01-20,,ELIGIBLE
FDX20254720687,CUST148050,Gutierrez-Ruiz,Small,2026-01-05,13904,55526,54908,2026-01-15,10,7,2026-01-22,,ELIGIBLE
FDX20257221581,CUST793384,Garcia-Jones,Small,2026-01-10,41443,120939,95684,2026-01-20,10,7,2026-01-27,2026-01-27,RESOLVED_IN_GRACE
FDX20252342843,CUST338968,Bautista-Hicks,Mega,2025-12-01,31806,136471,67708,2026-01-05,35,30,2026-02-04,2026-01-06,RESOLVED_IN_GRACE
FDX20251633429,CUST910620,Ochoa-Jackson,Large,2025-12-01,56327,204732,94951,2025-12-26,25,20,2026-01-15,2026-01-03,RESOLVED_IN_GRACE
FDX20257447920,CUST403445,Villa-Dalton,Mid,2026-01-03,52719,283160,227418,2026-01-18,15,12,2026-01-30,,ELIGIBLE
FDX20257721705,CUST183667,Alvarado-White,Small,2026-01-07,5938,33574,29995,2026-01-17,10,7,2026-01-24,,ELIGIBLE
FDX20259741022,CUST996865,"Soto, Alexander and Jones",Small,2026-01-05,16449,84283,40000,2026-01-15,10,7,2026-01-22,,ELIGIBLE
FDX20255806156,CUST344098,Waters-Morrow,Small,2026-01-06,23997,78330,75665,2026-01-16,10,7,2026-01-23,2026-01-21,RESOLVED_IN_GRACE
FDX20251964069,CUST205907,Ryan-Martinez,Small,2026-01-02,11276,54556,41043,2026-01-12,10,7,2026-01-19,,ELIGIBLE
FDX20253940561,CUST498591,Bauer-Ramsey,Small,2026-01-06,8164,26138,20633,2026-01-16,10,7,2026-01-23,2026-01-21,RESOLVED_IN_GRACE
FDX20259294125,CUST391476,Potter-Hernandez,Mega,2025-12-01,17254,73353,55472,2026-01-05,35,30,2026-02-04,,ELIGIBLE
FDX20258364728,CUST575435,"Wright, Hudson and Morris",Mid,2025-12-25,18541,86002,60599,2026-01-09,15,12,2026-01-21,,ELIGIBLE
FDX20251179690,CUST766563,Brooks-George,Small,2026-01-04,56921,185664,179641,2026-01-14,10,7,2026-01-21,,ELIGIBLE
FDX20254384085,CUST974628,Taylor-Reyes,Small,2025-12-24,13722,54819,25846,2026-01-03,10,7,2026-01-10,,ELIGIBLE
FDX20259693169,CUST482554,Fisher-Pruitt,Small,2025-12-24,41798,213146,109237,2026-01-03,10,7,2026-01-10,,IN_GRACE
FDX20255798393,CUST270555,"Wall, Robinson and Robertson",Large,2025-12-07,18417,65786,63230,2026-01-01,25,20,2026-01-21,,IN_GRACE
FDX20254267304,CUST488162,Caldwell-Marsh,Large,2025-12-04,35594,125478,68140,2025-12-29,25,20,2026-01-18,,ELIGIBLE
FDX20251563871,CUST472528,"Savage, Wilson and Roberts",Large,2025-12-01,54022,300151,166535,2025-12-26,25,20,2026-01-15,,ELIGIBLE
FDX20259565571,CUST319684,Hardin-Campbell,Mid,2025-12-21,51749,271487,165783,2026-01-05,15,12,2026-01-17,,ELIGIBLE
FDX20259653916,CUST802729,Benitez-Garcia,Mid,2025-12-29,34746,101671,49969,2026-01-13,15,12,2026-01-25,2026-01-15,RESOLVED_IN_GRACE
FDX20254886793,CUST379946,Schultz-Wilson,Small,2025-12-25,21757,83563,36226,2026-01-04,10,7,2026-01-11,,IN_GRACE
FDX20253843451,CUST835911,Mitchell-Santiago,Small,2026-01-10,4536,18320,8754,2026-01-20,10,7,2026-01-27,,ELIGIBLE
FDX20251605005,CUST816751,Knight-Daugherty,Small,2025-12-25,3093,17644,14685,2026-01-04,10,7,2026-01-11,,ELIGIBLE
FDX20257035435,CUST779514,"Walters, Mcbride and Miller",Large,2025-12-11,35561,92116,56563,2026-01-05,25,20,2026-01-25,,IN_GRACE
FDX20255014060,CUST174870,"Burnett, Ramirez and Harrison",Small,2026-01-05,38326,226803,163867,2026-01-15,10,7,2026-01-22,,ELIGIBLE
FDX20251004819,CUST738720,Jackson-Torres,Mid,2025-12-17,7081,28644,17477,2026-01-01,15,12,2026-01-13,,ELIGIBLE
FDX20253641484,CUST765822,Gamble Inc,Small,2026-01-14,47537,209994,203206,2026-01-24,10,7,2026-01-31,,ELIGIBLE
FDX20252456980,CUST279451,Melendez-Chavez,Mid,2026-01-04,45724,128934,96665,2026-01-19,15,12,2026-01-31,2026-01-31,RESOLVED_IN_GRACE
FDX20255629452,CUST660086,Sanders-Hicks,Small,2025-12-25,59746,193116,185963,2026-01-04,10,7,2026-01-11,,IN_GRACE
FDX20257701385,CUST864544,Valdez-Shaw,Large,2025-12-09,36276,153461,116197,2026-01-03,25,20,2026-01-23,,ELIGIBLE
FDX20256924499,CUST356702,Campbell-Le,Small,2025-12-27,4916,17917,10754,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20257629401,CUST271339,Hays PLC,Small,2026-01-05,39322,123986,59237,2026-01-15,10,7,2026-01-22,2026-01-16,RESOLVED_IN_GRACE
FDX20257802338,CUST584714,Garcia-Ramirez,Small,2026-01-09,48242,190452,150523,2026-01-19,10,7,2026-01-26,2026-01-21,RESOLVED_IN_GRACE
FDX20254360650,CUST497887,Barrett-Smith,Small,2025-12-27,32168,102479,47402,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20259686281,CUST383060,Medina-Simmons,Small,2025-12-27,28530,94731,80544,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20251257807,CUST771088,"Parrish, Patterson and Russell",Mid,2025-12-27,27404,163517,33298,2026-01-11,15,12,2026-01-23,,ELIGIBLE
FDX20252151205,CUST821590,Valdez Inc,Small,2026-01-11,15679,48749,28147,2026-01-21,10,7,2026-01-28,,ELIGIBLE
FDX20252512732,CUST684004,Johnson-Acosta,Small,2026-01-11,22733,123510,61655,2026-01-21,10,7,2026-01-28,,IN_GRACE
FDX20255773013,CUST330283,Fisher Ltd,Small,2026-01-02,6248,33157,32341,2026-01-12,10,7,2026-01-19,,IN_GRACE
FDX20256840069,CUST817870,Palmer-Holt,Large,2025-12-07,1939,6282,4556,2026-01-01,25,20,2026-01-21,,ELIGIBLE
FDX20256829664,CUST440035,Hanna PLC,Mid,2025-12-21,24090,141388,101348,2026-01-05,15,12,2026-01-17,2026-01-15,RESOLVED_IN_GRACE
FDX20255639031,CUST983794,Baker-Houston,Mid,2026-01-04,33593,145377,134461,2026-01-19,15,12,2026-01-31,2026-01-23,RESOLVED_IN_GRACE
FDX20254796608,CUST905635,Mcneil LLC,Small,2026-01-02,48783,241330,198532,2026-01-12,10,7,2026-01-19,,ELIGIBLE
FDX20254263591,CUST913694,Mccoy-Baird,Mega,2025-12-01,14316,75219,68748,2026-01-05,35,30,2026-02-04,,ELIGIBLE
FDX20258629590,CUST158655,Lee-Hawkins,Mid,2025-12-23,25027,126643,100900,2026-01-07,15,12,2026-01-19,2026-01-13,RESOLVED_IN_GRACE
FDX20257777264,CUST340174,Moreno-Ferrell,Small,2026-01-06,51545,219631,69226,2026-01-16,10,7,2026-01-23,,ELIGIBLE
FDX20251078038,CUST961722,Schultz-Lewis,Mid,2025-12-25,38483,134492,71887,2026-01-09,15,12,2026-01-21,,ELIGIBLE
FDX20255380657,CUST133659,Hall-Parker,Mega,2025-12-01,48673,240024,119303,2026-01-05,35,30,2026-02-04,,ELIGIBLE
FDX20253936596,CUST944151,Hartman-Rodriguez,Small,2025-12-27,46207,137887,55839,2026-01-06,10,7,2026-01-13,,IN_GRACE
FDX20257830585,CUST430776,"Barnett, Woods and Villanueva",Small,2025-12-22,5719,30008,27850,2026-01-01,10,7,2026-01-08,,IN_GRACE
FDX20259493265,CUST520651,Weber-Welch,Mid,2025-12-19,15693,64890,45580,2026-01-03,15,12,2026-01-15,2026-01-04,RESOLVED_IN_GRACE
FDX20252786185,CUST380746,Castro-Marshall,Small,2026-01-05,15814,86097,84981,2026-01-15,10,7,2026-01-22,,ELIGIBLE
FDX20252214435,CUST169403,Rhodes-Jacobs,Small,2026-01-11,29398,92948,92397,2026-01-21,10,7,2026-01-28,2026-01-24,RESOLVED_IN_GRACE
FDX20259441777,CUST321231,"Greene, Davis and Elliott",Mid,2025-12-18,27252,153711,87940,2026-01-02,15,12,2026-01-14,,ELIGIBLE
FDX20255936726,CUST694731,George-Dickerson,Small,2026-01-08,58047,258124,85329,2026-01-18,10,7,2026-01-25,,ELIGIBLE
FDX20256703681,CUST852787,Hall-Stout,Small,2026-01-11,8277,25945,20229,2026-01-21,10,7,2026-01-28,,IN_GRACE
FDX20252963085,CUST429963,Thompson-Khan,Small,2025-12-25,37912,171237,79951,2026-01-04,10,7,2026-01-11,,ELIGIBLE
FDX20259611521,CUST322955,Hogan-Ramirez,Mid,2025-12-27,14953,51013,16960,2026-01-11,15,12,2026-01-23,,IN_GRACE
FDX20255323377,CUST787277,Henderson Ltd,Mega,2025-12-01,53698,138023,124875,2026-01-05,35,30,2026-02-04,,ELIGIBLE
FDX20255196677,CUST623481,"Melendez, Holloway and Johnson",Large,2025-12-08,4315,16709,10834,2026-01-02,25,20,2026-01-22,2026-01-10,RESOLVED_IN_GRACE
FDX20258428425,CUST514850,Anthony-Sutton,Small,2025-12-27,3601,21177,20252,2026-01-06,10,7,2026-01-13,2026-01-12,RESOLVED_IN_GRACE
FDX20257326357,CUST774079,Ware-Velazquez,Mid,2025-12-12,11078,65577,21965,2025-12-27,15,12,2026-01-08,,ELIGIBLE
FDX20259113963,CUST581141,Mays-Delgado,Small,2026-01-13,42674,172940,126231,2026-01-23,10,7,2026-01-30,2026-01-28,RESOLVED_IN_GRACE
FDX20255081447,CUST249811,Walker-Martin,Small,2026-01-10,10630,60082,41191,2026-01-20,10,7,2026-01-27,,IN_GRACE
FDX20256698561,CUST377746,Parker-Harris,Small,2026-01-13,16125,95267,38575,2026-01-23,10,7,2026-01-30,2026-01-30,RESOLVED_IN_GRACE
FDX20258698199,CUST246413,"Moore, Robles and Washington",Small,2025-12-31,8750,23163,16478,2026-01-10,10,7,2026-01-17,2026-01-16,RESOLVED_IN_GRACE
FDX20258729606,CUST358607,"Fletcher, Baker and Horne",Mid,2025-12-17,48431,257838,185994,2026-01-01,15,12,2026-01-13,,ELIGIBLE
FDX20251458868,CUST881177,Massey-Camacho,Small,2025-12-27,14785,42416,20413,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20259086117,CUST688637,"Trujillo, Henry and Powell",Small,2025-12-22,43225,223766,103394,2026-01-01,10,7,2026-01-08,,ELIGIBLE
FDX20252950658,CUST665158,Glover-Green,Large,2025-12-11,48441,232974,141015,2026-01-05,25,20,2026-01-25,2026-01-15,RESOLVED_IN_GRACE
FDX20255325497,CUST375504,Evans-Jacobson,Mid,2025-12-22,37201,138737,56776,2026-01-06,15,12,2026-01-18,2026-01-09,RESOLVED_IN_GRACE
FDX20252133372,CUST883300,Henderson-Mccann,Mid,2025-12-29,1674,8051,2769,2026-01-13,15,12,2026-01-25,2026-01-14,RESOLVED_IN_GRACE
FDX20257420191,CUST712982,Mccarty-Scott,Mid,2025-12-23,5697,28961,6434,2026-01-07,15,12,2026-01-19,,ELIGIBLE
FDX20254697401,CUST549245,Boone-Martinez,Mid,2025-12-15,37571,171240,73675,2025-12-30,15,12,2026-01-11,,IN_GRACE
FDX20254857587,CUST711878,Welch-Rodriguez,Small,2025-12-25,37202,154603,70413,2026-01-04,10,7,2026-01-11,2026-01-11,RESOLVED_IN_GRACE
FDX20256297082,CUST518801,Jones-Gibson,Small,2026-01-01,45633,132262,102892,2026-01-11,10,7,2026-01-18,,IN_GRACE
FDX20257919359,CUST479580,Elliott Ltd,Small,2026-01-11,46187,157453,110419,2026-01-21,10,7,2026-01-28,2026-01-26,RESOLVED_IN_GRACE
FDX20256923972,CUST329974,Kim-Wood,Mid,2025-12-27,47256,230830,102133,2026-01-11,15,12,2026-01-23,2026-01-22,RESOLVED_IN_GRACE
FDX20259665502,CUST245051,Grant-Lee,Mid,2025-12-13,27423,111318,36102,2025-12-28,15,12,2026-01-09,2025-12-31,RESOLVED_IN_GRACE
FDX20259986747,CUST634277,Burton-Hall,Small,2026-01-13,42440,191883,135103,2026-01-23,10,7,2026-01-30,,IN_GRACE
FDX20251163128,CUST617488,Hardy-Guerrero,Mid,2025-12-26,23259,70123,68113,2026-01-10,15,12,2026-01-22,2026-01-22,RESOLVED_IN_GRACE
FDX20255418274,CUST195325,Paul-Taylor,Large,2025-12-01,2776,7240,5753,2025-12-26,25,20,2026-01-15,,ELIGIBLE
FDX20255165071,CUST892495,Smith-Clark,Small,2026-01-13,59499,169918,63740,2026-01-23,10,7,2026-01-30,,ELIGIBLE
FDX20255819919,CUST149405,Lamb-Conway,Small,2025-12-22,35137,102892,74927,2026-01-01,10,7,2026-01-08,,ELIGIBLE
FDX20252560439,CUST214975,Frost-Anderson,Large,2025-12-01,46630,257547,248109,2025-12-26,25,20,2026-01-15,,ELIGIBLE
FDX20257692945,CUST260265,Brooks-Martinez,Large,2025-12-09,18272,92210,35166,2026-01-03,25,20,2026-01-23,,ELIGIBLE
FDX20256737688,CUST757924,Irwin-Wilson,Large,2025-12-07,9942,52987,21274,2026-01-01,25,20,2026-01-21,2026-01-08,RESOLVED_IN_GRACE
FDX20252275551,CUST267753,"Barker, Barnes and Brown",Small,2026-01-04,46725,129304,48411,2026-01-14,10,7,2026-01-21,,ELIGIBLE
FDX20253994493,CUST930555,Garrison-Lutz,Mid,2025-12-22,15249,65538,15952,2026-01-06,15,12,2026-01-18,,ELIGIBLE
FDX20258995273,CUST813536,Ramirez-Coffey,Mid,2025-12-15,31108,95417,39562,2025-12-30,15,12,2026-01-11,2026-01-03,RESOLVED_IN_GRACE
FDX20256265911,CUST542666,King-Turner,Mid,2025-12-23,22618,61563,32680,2026-01-07,15,12,2026-01-19,,ELIGIBLE
FDX20256931382,CUST725380,Rodriguez-Graham,Small,2026-01-13,50378,297437,189038,2026-01-23,10,7,2026-01-30,2026-01-25,RESOLVED_IN_GRACE
FDX20254666931,CUST166613,Castillo-Chen,Mid,2025-12-21,1684,9988,4803,2026-01-05,15,12,2026-01-17,2026-01-16,RESOLVED_IN_GRACE
FDX20255514342,CUST503457,Reynolds and Sons,Mid,2026-01-02,19307,66924,61233,2026-01-17,15,12,2026-01-29,2026-01-22,RESOLVED_IN_GRACE
FDX20254066614,CUST500156,Jones-Wright,Large,2025-12-17,14442,66048,36127,2026-01-11,25,20,2026-01-31,2026-01-18,RESOLVED_IN_GRACE
FDX20254190481,CUST724834,Adams-Campbell,Small,2026-01-14,39138,127920,96120,2026-01-24,10,7,2026-01-31,,ELIGIBLE
FDX20259371819,CUST590785,Tate and Sons,Mid,2025-12-15,51800,279741,88905,2025-12-30,15,12,2026-01-11,,ELIGIBLE
FDX20254349848,CUST654816,Davis-Dixon,Small,2026-01-07,57167,289784,65066,2026-01-17,10,7,2026-01-24,,IN_GRACE
FDX20254940319,CUST363626,Gonzalez-Soto,Large,2025-12-08,58153,304279,87475,2026-01-02,25,20,2026-01-22,2026-01-16,RESOLVED_IN_GRACE
FDX20255061034,CUST680099,Mullen-Castaneda,Large,2025-12-14,47995,223899,105958,2026-01-08,25,20,2026-01-28,,IN_GRACE
FDX20255452763,CUST112038,Smith-Hubbard,Mid,2025-12-17,9624,51717,37560,2026-01-01,15,12,2026-01-13,,ELIGIBLE
FDX20254469169,CUST813328,Spence-Kaiser,Small,2025-12-31,41622,205113,187938,2026-01-10,10,7,2026-01-17,,ELIGIBLE
FDX20254845464,CUST855731,Ray-Campbell,Mid,2025-12-21,32383,176231,112480,2026-01-05,15,12,2026-01-17,2026-01-06,RESOLVED_IN_GRACE
FDX20254401858,CUST220116,Johnson-Osborne,Small,2026-01-05,17800,58022,17894,2026-01-15,10,7,2026-01-22,2026-01-18,RESOLVED_IN_GRACE
FDX20255189194,CUST814825,Wise-Wilkins,Small,2026-01-05,25998,101491,59122,2026-01-15,10,7,2026-01-22,2026-01-16,RESOLVED_IN_GRACE
FDX20256973148,CUST663054,Nelson-Valentine,Small,2026-01-02,2736,13222,4367,2026-01-12,10,7,2026-01-19,,ELIGIBLE
FDX20253617171,CUST887352,Davis-Norris,Mega,2025-12-01,30066,126409,64656,2026-01-05,35,30,2026-02-04,2026-01-24,RESOLVED_IN_GRACE
FDX20252789949,CUST379786,Vazquez-Lopez,Mid,2025-12-28,31928,80381,33935,2026-01-12,15,12,2026-01-24,,IN_GRACE
FDX20253011227,CUST905934,Hart-Medina,Small,2026-01-14,46442,259391,121780,2026-01-24,10,7,2026-01-31,,IN_GRACE
